AÑ;TRIMESTRE;PROVEEDOR;COD DEPARTAMENTO;DEPARTAMENTO;COD MUNICIPIO;MUNICIPIO;CABECERA MUNICIPAL;COD CENTRO POBLADO;CENTRO POBLADO;COBERTURA 2G;COBERTURA 3G;COBERTURA HSPA+, HSPA+DC;COBERTUTA 4G;COBERTURA LTE;COBERTURA 5G
2021;1;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8421;LURUACO;N;8421003;LOS PENDALES;N;S;S;N;N;N
2023;3;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13780;TALAIGUA NUEVO;N;13780011;VESUBIO;N;N;N;S;N;N
2021;4;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;8;ATLÁNTIC;8638;SABANALARGA;N;8638001;AGUADA DE PABLO;S;S;S;N;N;N
2022;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13600;RÍO VIEJ;N;13600007;CAIMITAL;S;N;N;N;N;N
2022;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13490;NOROS�;S;13490000;NOROS�;S;S;S;S;N;N
2021;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13744;SIMIT�;N;13744021;LAS ACEITUNAS;N;N;N;N;N;N
2023;2;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8433;MALAMBO;N;8433001;CARACOL�;N;S;S;S;N;N
2022;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8001;BARRANQUILLA;S;8001000;BARRANQUILLA;S;S;S;S;N;N
2021;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001037;MÚCUR;N;S;S;S;N;N
2022;2;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8078;BARANOA;N;8078003;SIBARCO;S;S;S;S;N;N
2021;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8638;SABANALARGA;N;8638002;CASCAJAL;N;N;N;S;N;N
2023;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13300;HATILLO DE LOBA;S;13300000;HATILLO DE LOBA;S;S;S;S;N;N
2022;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13430;MAGANGU�;N;13430049;ROMA;S;S;N;N;N;N
2022;4;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13001;CARTAGENA;N;13001002;ARROYO GRANDE;N;S;S;S;N;N
2022;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8675;SANTA LUCÍ;S;8675000;SANTA LUCÍ;S;S;S;N;N;N
2022;1;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13188;CICUCO;S;13188000;CICUCO;N;S;S;N;N;N
2023;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001008;LA BOQUILLA;S;S;S;S;N;N
2023;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13442;MARÍA LA BAJ;N;13442031;EL GUAMO;S;S;S;S;N;N
2022;4;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13760;SOPLAVIENTO;S;13760000;SOPLAVIENTO;N;S;S;S;N;N
2022;4;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13836;TURBACO;S;13836000;TURBACO;N;S;S;S;N;N
2023;2;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13442;MARÍA LA BAJ;S;13442000;MARÍA LA BAJ;N;S;S;S;N;N
2021;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13490;NOROS�;N;13490002;CASA DE BARRO;N;N;N;N;N;N
2023;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001027;EL PUEBLITO;S;S;S;S;N;N
2023;3;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13647;SAN ESTANISLAO;S;13647000;SAN ESTANISLAO DE KOSTKA;N;S;S;S;N;N
2023;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001016;LETICIA;S;N;N;N;N;N
2022;4;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8560;PONEDERA;N;8560003;PUERTO GIRALDO;N;S;S;S;N;N
2022;3;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13744;SIMIT�;N;13744013;ANIMAS ALTAS;N;N;N;S;N;N
2021;4;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;13;BOLÍVA;13062;ARROYOHONDO;S;13062000;ARROYOHONDO;S;S;S;N;N;N
2022;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13006;ACH�;S;13006000;ACH�;S;S;S;S;N;N
2023;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13244;EL CARMEN DE BOLÍVA;N;13244019;ARROYO ARENA;S;N;N;N;N;N
2023;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001010;PUNTA CANOA;S;S;S;S;N;N
2022;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13667;SAN MARTÍN DE LOB;N;13667010;LAS PLAYITAS;N;N;N;S;N;N
2022;2;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13001;CARTAGENA;N;13001037;MÚCUR;N;S;S;S;N;N
2022;2;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13744;SIMIT�;S;13744000;SIMIT�;N;S;S;S;N;N
2022;1;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13244;EL CARMEN DE BOLÍVA;S;13244000;EL CARMEN DE BOLÍVA;S;S;S;S;N;N
2022;3;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13430;MAGANGU�;N;13430011;HENEQUÉ;N;S;S;S;N;N
2021;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001014;PUNTA ARENA;S;S;S;N;N;N
2023;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13673;SANTA CATALINA;N;13673003;GALERAZAMBA;S;S;S;S;N;N
2022;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13433;MAHATES;N;13433003;MALAGANA;S;S;S;S;N;N
2021;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13430;MAGANGU�;N;13430051;SAN ANTOÑIT;S;S;N;N;N;N
2021;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13473;MORALES;N;13473019;BOCA DE LA CIENAGA;S;S;N;N;N;N
2021;4;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13580;REGIDOR;S;13580000;REGIDOR;N;N;N;S;N;N
2021;4;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8558;POLONUEVO;S;8558000;POLONUEVO;S;S;S;S;N;N
2022;3;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8421;LURUACO;N;8421002;PALMAR DE CANDELARIA;N;S;S;S;N;N
2021;4;AVANTEL S.A.S;13;BOLÍVA;13074;BARRANCO DE LOBA;S;13074000;BARRANCO DE LOBA;S;S;S;N;N;N
2022;4;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8675;SANTA LUCÍ;S;8675000;SANTA LUCÍ;S;S;S;S;N;N
2022;3;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13430;MAGANGU�;N;13430013;JUAN ARIAS;N;S;S;S;N;N
2022;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13442;MARÍA LA BAJ;N;13442024;LA CURVA;S;N;N;N;N;N
2023;2;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13688;SANTA ROSA DEL SUR;S;13688000;SANTA ROSA DEL SUR;N;S;S;S;N;N
2021;4;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13268;EL PEÑ�;S;13268000;EL PEÑ�;N;S;S;N;N;N
2023;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13667;SAN MARTÍN DE LOB;N;13667002;CHIMI;S;S;S;N;N;N
2021;1;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;8;ATLÁNTIC;8606;REPELÓ;S;8606001;REPELÓ;N;N;N;N;S;N
2022;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8558;POLONUEVO;N;8558001;PITAL DEL CARLÍN (PITALITO;S;N;N;N;N;N
2022;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13744;SIMIT�;N;13744006;VERACRUZ;S;S;N;N;N;N
2023;1;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8560;PONEDERA;N;8560002;MARTILLO;S;S;S;N;N;N
2023;1;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13212;CÓRDOB;N;13212014;SOCORRO 1;N;N;N;S;N;N
2023;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13440;MARGARITA;N;13440001;BOTÓN DE LEIV;S;N;N;N;N;N
2021;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001001;ARROYO DE PIEDRA;S;S;S;S;N;N
2021;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13600;RÍO VIEJ;N;13600007;CAIMITAL;S;N;N;N;N;N
2021;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13052;ARJONA;S;13052000;ARJONA;S;S;S;S;N;N
2022;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13468;SANTA CRUZ DE MOMPOX;N;13468031;PUEBLONUEVO;S;S;N;N;N;N
2022;1;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8141;CANDELARIA;S;8141000;CANDELARIA;S;S;S;S;N;N
2021;2;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13580;REGIDOR;S;13580000;REGIDOR;N;S;S;N;N;N
2021;1;AVANTEL S.A.S;8;ATLÁNTIC;8634;SABANAGRANDE;S;8634001;SABANAGRANDE;S;N;N;N;N;N
2021;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8832;TUBAR�;N;8832012;VILLAS DE PALMARITO;S;N;N;N;N;N
2023;3;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8372;JUAN DE ACOSTA;S;8372000;JUAN DE ACOSTA;N;S;S;S;N;N
2021;1;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13657;SAN JUAN NEPOMUCENO;S;13657001;SAN JUAN NEPOMUCENO;S;S;S;N;S;N
2022;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13442;MARÍA LA BAJ;N;13442024;LA CURVA;S;S;S;S;N;N
2023;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8638;SABANALARGA;S;8638000;SABANALARGA;S;S;S;S;N;N
2022;1;AVANTEL S.A.S;13;BOLÍVA;13654;SAN JACINTO;S;13654000;SAN JACINTO;S;S;S;S;N;N
2022;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001006;CAÑO DEL OR;S;S;N;N;N;N
2021;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13430;MAGANGU�;N;13430047;PUERTO NARIÑ;S;N;N;N;N;N
2023;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13442;MARÍA LA BAJ;S;13442000;MARÍA LA BAJ;S;S;S;S;N;N
2022;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13440;MARGARITA;N;13440001;BOTÓN DE LEIV;S;S;S;N;N;N
2021;2;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13647;SAN ESTANISLAO;S;13647000;SAN ESTANISLAO DE KOSTKA;N;S;S;S;N;N
2021;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13212;CÓRDOB;N;13212009;SANTA LUCÍ;S;N;N;N;N;N
2022;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13647;SAN ESTANISLAO;N;13647002;LAS PIEDRAS;S;S;S;N;N;N
2023;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13430;MAGANGU�;N;13430017;MADRID;S;N;N;N;N;N
2021;3;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13248;EL GUAMO;S;13248000;EL GUAMO;N;S;S;N;N;N
2021;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13620;SAN CRISTÓBA;N;13620001;HIGUERETAL;S;S;N;N;N;N
2023;3;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13744;SIMIT�;N;13744013;ANIMAS ALTAS;N;N;N;S;N;N
2021;3;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13580;REGIDOR;S;13580000;REGIDOR;S;S;S;S;N;N
2021;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13655;SAN JACINTO DEL CAUCA;N;13655003;CAIMITAL;S;S;N;N;N;N
2023;3;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8296;GALAPA;S;8296000;GALAPA;N;S;S;S;N;N
2022;4;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13744;SIMIT�;N;13744023;LAS PALMERAS;N;N;N;S;N;N
2021;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13657;SAN JUAN NEPOMUCENO;N;13657005;SAN CAYETANO;S;S;S;N;N;N
2022;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13001;CARTAGENA;N;13001029;MANZANILLO DEL MAR;S;S;S;S;N;N
2021;1;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13212;CÓRDOB;N;13212005;SAN ANDRÉ;S;S;S;N;N;N
2022;4;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13030;ALTOS DEL ROSARIO;S;13030000;ALTOS DEL ROSARIO;S;S;S;N;N;N
2023;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13667;SAN MARTÍN DE LOB;N;13667010;LAS PLAYITAS;N;N;N;S;N;N
2023;3;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13222;CLEMENCIA;S;13222000;CLEMENCIA;N;S;S;S;N;N
2021;3;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13688;SANTA ROSA DEL SUR;S;13688000;SANTA ROSA DEL SUR;N;S;S;S;N;N
2021;2;AVANTEL S.A.S;13;BOLÍVA;13549;PINILLOS;S;13549000;PINILLOS;S;S;S;N;N;N
2021;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8372;JUAN DE ACOSTA;N;8372004;SANTA VERÓNIC;S;S;S;N;N;N
2023;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13212;CÓRDOB;N;13212016;LAS LOMITAS;N;N;N;S;N;N
2021;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13006;ACH�;N;13006042;PROVIDENCIA;N;N;N;N;N;N
2021;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8549;PIOJ�;S;8549000;PIOJ�;S;S;S;S;N;N
2021;2;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;13;BOLÍVA;13458;MONTECRISTO;S;13458000;MONTECRISTO;N;N;N;N;N;N
2023;3;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13744;SIMIT�;N;13744023;LAS PALMERAS;N;N;N;S;N;N
2022;4;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13001;CARTAGENA;N;13001012;SANTA ANA;S;N;N;N;N;N
2022;1;AVANTEL S.A.S;13;BOLÍVA;13838;TURBAN�;S;13838000;TURBAN�;S;S;S;S;N;N
2023;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13780;TALAIGUA NUEVO;N;13780025;PEÑÓN DE DUR;S;S;N;N;N;N
2022;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13683;SANTA ROSA;S;13683000;SANTA ROSA DE LIMA;S;S;S;S;N;N
2022;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13780;TALAIGUA NUEVO;N;13780027;TUPE;S;N;N;N;N;N
2023;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13549;PINILLOS;N;13549011;PALOMINO;S;N;N;N;N;N
2021;4;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;8;ATLÁNTIC;8137;CAMPO DE LA CRUZ;S;8137000;CAMPO DE LA CRUZ;S;S;S;S;N;N
2022;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13650;SAN FERNANDO;N;13650001;GUASIMAL;S;S;N;N;N;N
2023;3;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13673;SANTA CATALINA;N;0;SIN CENTRO POBLADO;N;N;N;S;N;N
2022;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13212;CÓRDOB;N;13212006;SINCELEJITO;N;N;N;S;N;N
2022;1;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13160;CANTAGALLO;S;13160000;CANTAGALLO;S;S;S;S;N;N
2021;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13458;MONTECRISTO;S;13458001;MONTECRISTO;N;S;S;N;N;N
2021;4;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;8;ATLÁNTIC;8558;POLONUEVO;S;8558000;POLONUEVO;S;S;S;S;N;N
2021;2;AVANTEL S.A.S;8;ATLÁNTIC;8421;LURUACO;S;8421000;LURUACO;S;S;S;N;N;N
2022;3;AVANTEL S.A.S;13;BOLÍVA;13006;ACH�;S;13006000;ACH�;S;S;S;N;N;N
2022;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001015;ARARCA;S;N;N;N;N;N
2021;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13268;EL PEÑ�;N;13268003;BUENOS AIRES;N;N;N;N;N;N
2022;2;PARTNERS TELECOM COLOMBIA SAS;8;ATLÁNTIC;8421;LURUACO;S;8421000;LURUACO;N;S;S;S;N;N
2023;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8770;SUAN;S;8770000;SUAN;S;S;S;N;N;N
2021;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8433;MALAMBO;N;8433005;PITALITO;S;N;N;N;N;N
2022;1;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8137;CAMPO DE LA CRUZ;N;8137001;BOHÓRQUE;S;S;S;N;N;N
2022;4;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13780;TALAIGUA NUEVO;N;13780005;CAÑOHOND;S;N;N;N;N;N
2021;3;PARTNERS TELECOM COLOMBIA SAS;8;ATLÁNTIC;8078;BARANOA;S;8078000;BARANOA;N;S;S;S;N;N
2022;3;AVANTEL S.A.S;13;BOLÍVA;13074;BARRANCO DE LOBA;S;13074000;BARRANCO DE LOBA;S;S;S;S;N;N
2022;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13042;ARENAL;N;13042002;CARNIZALA;S;N;N;N;N;N
2023;2;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8758;SOLEDAD;S;8758000;SOLEDAD;N;S;S;S;N;N
2023;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13468;SANTA CRUZ DE MOMPOX;N;13468025;SANTA TERESITA;S;N;N;N;N;N
2023;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13780;TALAIGUA NUEVO;N;13780026;LOS MANGOS;S;S;S;S;N;N
2021;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13442;MARÍA LA BAJ;N;13442016;NUEVO RETÉ;S;S;N;N;N;N
2021;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13244;EL CARMEN DE BOLÍVA;S;13244000;EL CARMEN DE BOLÍVA;S;S;S;S;N;N
2022;1;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8549;PIOJ�;S;8549000;PIOJ�;S;S;S;S;N;N
2021;3;PARTNERS TELECOM COLOMBIA SAS;8;ATLÁNTIC;8606;REPELÓ;S;8606000;REPELÓ;N;S;S;S;N;N
2022;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13670;SAN PABLO;N;13670005;EL SOCORRO;S;N;N;N;N;N
2021;4;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13688;SANTA ROSA DEL SUR;S;13688000;SANTA ROSA DEL SUR;N;S;S;S;N;N
2021;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001002;ARROYO GRANDE;S;S;S;N;N;N
2023;1;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8560;PONEDERA;N;8560003;PUERTO GIRALDO;S;S;S;S;N;N
2022;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13006;ACH�;N;13006021;BUENOS AIRES;S;S;N;N;N;N
2022;4;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13300;HATILLO DE LOBA;S;13300000;HATILLO DE LOBA;S;N;N;S;N;N
2021;3;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;13;BOLÍVA;13001;CARTAGENA;N;13001003;BAR�;N;N;N;N;N;N
2023;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8433;MALAMBO;N;8433005;PITALITO;S;N;N;N;N;N
2022;2;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8433;MALAMBO;N;8433001;CARACOL�;S;S;S;S;N;N
2021;4;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13001;CARTAGENA;N;13001003;BAR�;S;S;S;N;N;N
2023;2;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8078;BARANOA;N;8078002;PITAL;S;S;S;S;N;N
2021;1;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13688;SANTA ROSA DEL SUR;S;13688001;SANTA ROSA DEL SUR;N;S;S;N;N;N
2023;2;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13838;TURBAN�;S;13838000;TURBAN�;N;S;S;S;N;N
2021;2;AVANTEL S.A.S;13;BOLÍVA;13001;CARTAGENA;S;13001000;CARTAGENA DE INDIAS;S;S;S;S;N;N
2023;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13780;TALAIGUA NUEVO;N;13780025;PEÑÓN DE DUR;S;S;N;N;N;N
2023;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8296;GALAPA;N;8296001;PALUATO;S;N;N;N;N;N
2022;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13894;ZAMBRANO;N;13894002;CAPACA;N;N;N;S;N;N
2022;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8832;TUBAR�;N;8832012;VILLAS DE PALMARITO;S;N;N;N;N;N
2021;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8832;TUBAR�;N;8832011;PLAYAS DE EDRIMÁ;S;S;N;N;N;N
2022;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13458;MONTECRISTO;N;13458006;PUERTO ESPAÑ;S;S;S;N;N;N
2022;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13549;PINILLOS;N;13549011;PALOMINO;S;N;N;N;N;N
2022;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13580;REGIDOR;S;13580000;REGIDOR;S;S;S;S;N;N
2021;4;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13667;SAN MARTÍN DE LOB;S;13667000;SAN MARTÍN DE LOB;S;S;S;N;N;N
2021;2;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13052;ARJONA;S;13052000;ARJONA;N;S;S;N;N;N
2023;3;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8560;PONEDERA;N;8560002;MARTILLO;N;S;S;S;N;N
2022;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13006;ACH�;S;13006000;ACH�;S;S;S;S;N;N
2021;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13212;CÓRDOB;N;13212009;SANTA LUCÍ;S;N;N;N;N;N
2022;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13433;MAHATES;N;13433010;CRUZ DEL VIZO;S;S;N;N;N;N
2022;1;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;13;BOLÍVA;13212;CÓRDOB;N;13212005;SAN ANDRÉ;S;S;S;N;N;N
2021;1;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8675;SANTA LUCÍ;S;8675001;SANTA LUCÍ;S;S;S;N;S;N
2023;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13688;SANTA ROSA DEL SUR;N;13688020;SAN BENITO;S;S;S;S;N;N
2021;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001038;PUERTO BELLO;S;S;S;N;N;N
2022;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13442;MARÍA LA BAJ;N;13442045;EL PUEBLITO;S;S;N;N;N;N
2022;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13549;PINILLOS;S;13549000;PINILLOS;S;S;S;S;N;N
2023;3;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13654;SAN JACINTO;S;13654000;SAN JACINTO;N;S;S;S;N;N
2021;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13458;MONTECRISTO;N;13458001;BETANIA;S;N;N;N;N;N
2022;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8675;SANTA LUCÍ;S;8675000;SANTA LUCÍ;S;S;S;N;N;N
2021;4;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8832;TUBAR�;N;8832013;NUEVA ESPERANZA;S;S;S;S;N;N
2022;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13657;SAN JUAN NEPOMUCENO;S;13657000;SAN JUAN NEPOMUCENO;S;S;S;S;N;N
2022;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13744;SIMIT�;N;13744008;SAN LUIS;S;N;N;N;N;N
2023;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001012;SANTA ANA;S;N;N;N;N;N
2021;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13468;SANTA CRUZ DE MOMPOX;N;13468028;ANCÓ;S;S;N;N;N;N
2021;4;AVANTEL S.A.S;13;BOLÍVA;13673;SANTA CATALINA;S;13673000;SANTA CATALINA;S;S;S;N;N;N
